Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,040913,1999,12,161.0,N
IDCJAC0001,040913,2000,01,40.4,N
IDCJAC0001,040913,2000,02,65.0,N
IDCJAC0001,040913,2000,03,83.8,N
IDCJAC0001,040913,2000,04,42.8,N
IDCJAC0001,040913,2000,05,53.4,N
IDCJAC0001,040913,2000,06,43.2,N
IDCJAC0001,040913,2000,07,37.4,N
IDCJAC0001,040913,2000,08,10.6,N
IDCJAC0001,040913,2000,09,1.0,N
IDCJAC0001,040913,2000,10,44.6,N
IDCJAC0001,040913,2000,11,94.6,N
IDCJAC0001,040913,2000,12,143.0,N
IDCJAC0001,040913,2001,01,25.8,N
IDCJAC0001,040913,2001,02,204.4,N
IDCJAC0001,040913,2001,03,247.4,N
IDCJAC0001,040913,2001,04,33.4,N
IDCJAC0001,040913,2001,05,36.0,N
IDCJAC0001,040913,2001,06,20.0,N
IDCJAC0001,040913,2001,07,27.6,N
IDCJAC0001,040913,2001,08,8.4,N
IDCJAC0001,040913,2001,09,24.6,N
IDCJAC0001,040913,2001,10,96.4,N
IDCJAC0001,040913,2001,11,192.0,N
IDCJAC0001,040913,2001,12,145.2,N
IDCJAC0001,040913,2002,01,38.8,N
IDCJAC0001,040913,2002,02,56.6,N
IDCJAC0001,040913,2002,03,103.6,N
IDCJAC0001,040913,2002,04,49.8,N
IDCJAC0001,040913,2002,05,54.2,N
IDCJAC0001,040913,2002,06,64.4,N
IDCJAC0001,040913,2002,07,0.4,N
IDCJAC0001,040913,2002,08,108.2,N
IDCJAC0001,040913,2002,09,13.6,N
IDCJAC0001,040913,2002,10,44.8,N
IDCJAC0001,040913,2002,11,49.2,N
IDCJAC0001,040913,2002,12,125.0,N
IDCJAC0001,040913,2003,01,5.2,N
IDCJAC0001,040913,2003,03,80.8,N
IDCJAC0001,040913,2003,04,113.4,N
IDCJAC0001,040913,2003,05,81.6,N
IDCJAC0001,040913,2003,06,52.0,N
IDCJAC0001,040913,2003,07,21.4,N
IDCJAC0001,040913,2003,08,22.2,N
IDCJAC0001,040913,2003,09,19.8,N
IDCJAC0001,040913,2003,10,50.8,N
IDCJAC0001,040913,2003,11,26.6,N
IDCJAC0001,040913,2003,12,141.6,N
IDCJAC0001,040913,2004,01,279.2,N
IDCJAC0001,040913,2004,02,131.2,N
IDCJAC0001,040913,2004,03,103.2,N
IDCJAC0001,040913,2004,04,31.0,N
IDCJAC0001,040913,2004,05,18.4,N
IDCJAC0001,040913,2004,06,14.4,N
IDCJAC0001,040913,2004,07,0.6,N
IDCJAC0001,040913,2004,08,17.4,N
IDCJAC0001,040913,2004,09,20.8,N
IDCJAC0001,040913,2004,10,57.2,N
IDCJAC0001,040913,2004,11,161.4,N
IDCJAC0001,040913,2004,12,221.8,N
IDCJAC0001,040913,2005,01,91.0,N
IDCJAC0001,040913,2005,02,34.8,N
IDCJAC0001,040913,2005,03,12.4,N
IDCJAC0001,040913,2005,04,48.8,N
IDCJAC0001,040913,2005,05,52.8,N
IDCJAC0001,040913,2005,06,89.2,N
IDCJAC0001,040913,2005,07,9.8,N
IDCJAC0001,040913,2005,08,23.4,N
IDCJAC0001,040913,2005,09,14.6,N
IDCJAC0001,040913,2005,10,129.8,N
IDCJAC0001,040913,2005,11,133.2,N
IDCJAC0001,040913,2005,12,78.2,N
IDCJAC0001,040913,2006,01,174.0,N
IDCJAC0001,040913,2006,02,106.6,N
IDCJAC0001,040913,2006,03,78.8,N
IDCJAC0001,040913,2006,04,48.4,N
IDCJAC0001,040913,2006,05,10.0,N
IDCJAC0001,040913,2006,06,43.8,N
IDCJAC0001,040913,2006,07,32.4,N
IDCJAC0001,040913,2006,08,55.2,N
IDCJAC0001,040913,2006,09,57.0,N
IDCJAC0001,040913,2006,10,21.4,N
IDCJAC0001,040913,2006,11,85.4,N
IDCJAC0001,040913,2006,12,82.6,N
IDCJAC0001,040913,2007,01,99.0,N
IDCJAC0001,040913,2007,02,57.2,N
IDCJAC0001,040913,2007,03,20.6,N
IDCJAC0001,040913,2007,04,3.2,N
IDCJAC0001,040913,2007,05,39.0,N
IDCJAC0001,040913,2007,06,112.6,N
IDCJAC0001,040913,2007,07,1.0,N
IDCJAC0001,040913,2007,08,91.2,N
IDCJAC0001,040913,2007,09,32.4,N
IDCJAC0001,040913,2007,10,55.2,N
IDCJAC0001,040913,2007,11,61.8,N
IDCJAC0001,040913,2007,12,79.2,N
IDCJAC0001,040913,2008,01,184.4,N
IDCJAC0001,040913,2008,02,216.8,N
IDCJAC0001,040913,2008,03,41.8,N
IDCJAC0001,040913,2008,04,16.8,N
IDCJAC0001,040913,2008,05,52.0,N
IDCJAC0001,040913,2008,06,121.8,N
IDCJAC0001,040913,2008,07,91.4,N
IDCJAC0001,040913,2008,08,15.8,N
IDCJAC0001,040913,2008,09,55.6,N
IDCJAC0001,040913,2008,10,55.2,N
IDCJAC0001,040913,2008,11,326.6,N
IDCJAC0001,040913,2008,12,62.6,N
IDCJAC0001,040913,2009,01,77.4,N
IDCJAC0001,040913,2009,02,131.8,N
IDCJAC0001,040913,2009,03,47.6,N
IDCJAC0001,040913,2009,04,195.2,N
IDCJAC0001,040913,2009,05,240.8,N
IDCJAC0001,040913,2009,06,87.6,N
IDCJAC0001,040913,2009,07,3.6,N
IDCJAC0001,040913,2009,08,4.0,N
IDCJAC0001,040913,2009,09,23.4,N
IDCJAC0001,040913,2009,10,57.4,N
IDCJAC0001,040913,2009,11,31.4,N
IDCJAC0001,040913,2009,12,172.2,N
IDCJAC0001,040913,2010,01,40.2,N
IDCJAC0001,040913,2010,02,272.4,N
IDCJAC0001,040913,2010,03,162.2,N
IDCJAC0001,040913,2010,04,36.4,N
IDCJAC0001,040913,2010,05,61.2,N
IDCJAC0001,040913,2010,06,6.2,N
IDCJAC0001,040913,2010,07,27.8,N
IDCJAC0001,040913,2010,08,104.6,N
IDCJAC0001,040913,2010,09,103.6,N
IDCJAC0001,040913,2010,10,306.4,N
IDCJAC0001,040913,2010,11,57.8,N
IDCJAC0001,040913,2010,12,479.8,Y
IDCJAC0001,040913,2011,01,315.8,Y
IDCJAC0001,040913,2011,02,157.0,N
IDCJAC0001,040913,2011,03,149.2,N
IDCJAC0001,040913,2011,04,100.2,N
IDCJAC0001,040913,2011,05,69.2,N
IDCJAC0001,040913,2011,06,10.6,N
IDCJAC0001,040913,2011,07,12.4,N
IDCJAC0001,040913,2011,08,76.8,N
IDCJAC0001,040913,2011,09,18.6,N
IDCJAC0001,040913,2011,10,117.8,N
IDCJAC0001,040913,2011,11,15.6,N
IDCJAC0001,040913,2011,12,132.4,N
IDCJAC0001,040913,2012,01,343.4,N
IDCJAC0001,040913,2012,02,162.2,N
IDCJAC0001,040913,2012,03,118.2,N
IDCJAC0001,040913,2012,04,149.0,N
IDCJAC0001,040913,2012,05,36.4,N
IDCJAC0001,040913,2012,06,122.0,N
IDCJAC0001,040913,2012,07,51.2,N
IDCJAC0001,040913,2012,08,0.2,N
IDCJAC0001,040913,2012,09,5.6,N
IDCJAC0001,040913,2012,10,21.4,N
IDCJAC0001,040913,2012,11,116.8,N
IDCJAC0001,040913,2012,12,50.8,N
IDCJAC0001,040913,2013,01,281.6,N
IDCJAC0001,040913,2013,02,250.6,N
IDCJAC0001,040913,2013,03,172.4,N
IDCJAC0001,040913,2013,04,104.6,N
IDCJAC0001,040913,2013,05,44.0,N
IDCJAC0001,040913,2013,06,59.4,N
IDCJAC0001,040913,2013,07,39.0,N
IDCJAC0001,040913,2013,08,0.2,N
IDCJAC0001,040913,2013,09,13.2,N
IDCJAC0001,040913,2013,10,22.6,N
IDCJAC0001,040913,2013,11,104.8,N
IDCJAC0001,040913,2013,12,19.2,N
IDCJAC0001,040913,2014,01,143.8,N
IDCJAC0001,040913,2014,02,15.8,N
IDCJAC0001,040913,2014,03,164.4,N
IDCJAC0001,040913,2014,04,14.2,N
IDCJAC0001,040913,2014,05,28.6,N
IDCJAC0001,040913,2014,06,16.2,N
IDCJAC0001,040913,2014,07,14.2,N
IDCJAC0001,040913,2014,08,93.2,N
IDCJAC0001,040913,2014,09,27.6,N
IDCJAC0001,040913,2014,10,5.8,N
IDCJAC0001,040913,2014,11,142.0,N
IDCJAC0001,040913,2014,12,124.4,N
IDCJAC0001,040913,2015,01,322.4,N
IDCJAC0001,040913,2015,02,274.8,N
IDCJAC0001,040913,2015,03,161.4,N
IDCJAC0001,040913,2015,04,146.2,N
IDCJAC0001,040913,2015,05,248.8,N
IDCJAC0001,040913,2015,06,34.6,N
IDCJAC0001,040913,2015,07,9.2,N
IDCJAC0001,040913,2015,08,27.6,N
IDCJAC0001,040913,2015,09,54.2,N
IDCJAC0001,040913,2015,10,55.8,N
IDCJAC0001,040913,2015,11,74.2,N
IDCJAC0001,040913,2015,12,36.2,N
IDCJAC0001,040913,2016,01,51.4,N
IDCJAC0001,040913,2016,03,117.4,N
IDCJAC0001,040913,2016,04,12.8,N
IDCJAC0001,040913,2016,05,27.6,N
IDCJAC0001,040913,2016,06,264.8,N
IDCJAC0001,040913,2016,07,28.2,N
IDCJAC0001,040913,2016,08,31.6,N
IDCJAC0001,040913,2016,09,51.8,N
IDCJAC0001,040913,2016,10,30.2,N
IDCJAC0001,040913,2016,11,28.0,N
IDCJAC0001,040913,2016,12,102.0,N
IDCJAC0001,040913,2017,01,218.4,N
IDCJAC0001,040913,2017,02,30.6,N
IDCJAC0001,040913,2017,04,5.8,N
IDCJAC0001,040913,2017,05,36.2,N
IDCJAC0001,040913,2017,06,80.0,N
IDCJAC0001,040913,2017,07,47.0,N
IDCJAC0001,040913,2017,08,5.2,N
IDCJAC0001,040913,2017,09,6.0,N
IDCJAC0001,040913,2017,10,148.8,N
IDCJAC0001,040913,2017,11,102.6,N
IDCJAC0001,040913,2017,12,97.8,N
IDCJAC0001,040913,2018,01,25.8,N
IDCJAC0001,040913,2018,02,285.4,N
IDCJAC0001,040913,2018,03,145.0,N
IDCJAC0001,040913,2018,04,36.0,N
IDCJAC0001,040913,2018,05,26.8,N
IDCJAC0001,040913,2018,06,29.2,N
IDCJAC0001,040913,2018,07,25.8,N
IDCJAC0001,040913,2018,08,25.8,N
IDCJAC0001,040913,2018,09,15.6,N
IDCJAC0001,040913,2018,10,179.2,N
IDCJAC0001,040913,2018,11,13.4,N
IDCJAC0001,040913,2018,12,51.2,N
IDCJAC0001,040913,2019,01,27.6,N
IDCJAC0001,040913,2019,02,38.0,N
IDCJAC0001,040913,2019,03,181.0,N
IDCJAC0001,040913,2019,04,42.6,N
IDCJAC0001,040913,2019,05,25.4,N
IDCJAC0001,040913,2019,07,14.4,N
IDCJAC0001,040913,2019,08,3.2,N
IDCJAC0001,040913,2019,09,8.8,N
IDCJAC0001,040913,2019,10,55.0,N
IDCJAC0001,040913,2019,11,9.6,N
IDCJAC0001,040913,2019,12,207.8,N
IDCJAC0001,040913,2020,01,165.6,N
IDCJAC0001,040913,2020,02,365.8,N
IDCJAC0001,040913,2020,04,5.2,N
IDCJAC0001,040913,2020,05,12.2,N
IDCJAC0001,040913,2020,06,41.6,N
