SITE_CODE,SURVEY_DATE,SURVEY_AREA_SQM,SURVEY_HABITAT,SURVEY_REASON,SURVEY_PRIMAY_OFFICER,SURVET_SECONDARY_OFFICER,SURVEY_COMMENTS,SURVEY_SPECIES,LARVAL_DENSITY_1,LARVAL_DENSITY_2,LARVAL_DENSITY_3,LARVAL_DENSITY_4,LARVAL_DENSITY_P,LARVAL_DENSITY_AV,LANDING_RATE_SPECIES,LAND_RATE,TREATMENT_DATE,TREATMENT_AREA_SQM,TREATMENT_PRIMARY_OFFICER,TREATMENT_SECONDARY_OFFICER,TREATMENT_COMMENT,TREATMENT_METHOD,TREATMENT_CONTROL_AGENT,Qty (kg),Rate,EVALUATION_DATE,EVALUATION_OFFICER,EVALUATION_MET,SPECIES,SAMPLE_STAGE_1,SAMPLE_STAGE_2,SAMPLE_STAGE_3,SAMPLE_STAGE_4,SAMPLE_STAGE_P,SAMPLE_STAGE_AD,MORTAILTY_LAR,MORTALITY_P,MORTALITY_AD,MORTALITY_TOTAL,RUN_FORM_7
MCIS-2,3/07/2019,1000,Fresh,Recent Rain,TR,,6. Breeding mainly in open areas,29. Unidentified,5,,,,,5,,,3/07/2019,1000,TR,,6. Breeding mainly in open areas,Ground,8. VectoPrime FG (kg),0.3000 ,3.0,,,,,,,,,,,,,,,
MCIS-3,3/07/2019,2200,Salt,Recent Rain,TR,,6. Breeding mainly in open areas,29. Unidentified,10,,,,,10,,,3/07/2019,2200,TR,,6. Breeding mainly in open areas,Ground,3. Prolink XR Briquet,0.6600 ,3.0,,,,,,,,,,,,,,,
MCIS-22,3/07/2019,1800,Fresh,Recent Rain,TR,,1. No breeding,30. No mosquitoes,,,,,,,,,3/07/2019,1800,TR,,1. No breeding,Ground,2. Prolink Pellets (kg),0.5400 ,3.0,,,,,,,,,,,,,,,
MCIS-18,3/07/2019,1000,Salt,Recent Rain,TR,,1. No breeding,30. No mosquitoes,,,,,,,,,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
MCIS-23,3/07/2019,400,Salt,Recent Rain,TR,,1. No breeding,30. No mosquitoes,,,,,,,,,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
MCIS-24,3/07/2019,200,Salt,Recent Rain,TR,,6. Breeding mainly in open areas,29. Unidentified,,,,,,,,,3/07/2019,200,TR,,6. Breeding mainly in open areas,Ground,8. VectoPrime FG (kg),0.0600 ,3.0,,,,,,,,,,,,,,,
PEIS-1,3/07/2019,800,Salt,Recent Rain,TR,,6. Breeding mainly in open areas,7. Cx. Sitiens,,,,,,,,,3/07/2019,800,TR,,6. Breeding mainly in open areas,Ground,8. VectoPrime FG (kg),0.2400 ,3.0,,,,,,,,,,,,,,,
PEIS-2,3/07/2019,800,Salt,Recent Rain,TR,,6. Breeding mainly in open areas,7. Cx. Sitiens,,,,,,,,,3/07/2019,800,TR,,6. Breeding mainly in open areas,Ground,8. VectoPrime FG (kg),0.2400 ,3.0,,,,,,,,,,,,,,,
PAIS-1,4/07/2019,10000,Salt,Tidal Inundation,KM,,1. No breeding,7. Cx. Sitiens,,,,,,,,,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
LAIS-1,4/07/2019,10000,Salt,Tidal Inundation,KM,,1. No breeding,7. Cx. Sitiens,,,,,,,,,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
CL32-5,22/07/2019,10000,Salt,Tidal Inundation,MJ,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
RB14-2,22/07/2019,3400,Salt,Tidal Inundation,MJ,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
RB14-3,22/07/2019,1000,Salt,Tidal Inundation,MJ,,6. Breeding mainly in open areas,1. Ae. Vigilax,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
RB14-4,22/07/2019,10000,Salt,Tidal Inundation,MJ,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
RB14-12,22/07/2019,10000,Salt,Tidal Inundation,MJ,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
RB14-6,22/07/2019,1000,Salt,Tidal Inundation,MJ,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
RB14-7,22/07/2019,1000,Salt,Tidal Inundation,MJ,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
RB13-5,22/07/2019,10000,Salt,Tidal Inundation,MJ,,1. No breeding,30. No mosquitoes,,,,,,,2. Ve. Funerea,2. <10/ min,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
RB14-11,22/07/2019,10000,Salt,Tidal Inundation,MJ,,6. Breeding mainly in open areas,1. Ae. Vigilax,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
W44-1,22/07/2019,10000,Salt,Tidal Inundation,MJ,,6. Breeding mainly in open areas,1. Ae. Vigilax,,,1,,,1,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
G12-4,22/07/2019,1000,Salt,Tidal Inundation,MJ,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
G12-2,22/07/2019,5000,Salt,Tidal Inundation,MJ,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
WP33-8,19/07/2019,500,Fresh,Tidal Inundation,KM,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
WP34-1,19/07/2019,2900,Brackish,Tidal Inundation,KM,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
WP23-10,19/07/2019,800,Salt,Tidal Inundation,KM,,5. Breeding mainly in shallow pools,7. Cx. Sitiens,,1,1,,,1,30. No mosquitoes,1. None,19/07/2019,800,KM,,5. Breeding mainly in shallow pools,Ground,C. Vectobac 12AS (Lt),0.0960 ,1.2,,,,,,,,,,,,,,,
WP23-8,19/07/2019,2200,Salt,Tidal Inundation,KM,,5. Breeding mainly in shallow pools,7. Cx. Sitiens,,1,1,,,1,30. No mosquitoes,1. None,19/07/2019,2200,KM,,5. Breeding mainly in shallow pools,Ground,C. Vectobac 12AS (Lt),0.2640 ,1.2,,,,,,,,,,,,,,,
WP23-15,19/07/2019,1700,Fresh,Tidal Inundation,KM,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
WP23-13,19/07/2019,1100,Fresh,Tidal Inundation,KM,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
WP22-1,19/07/2019,19000,Salt,Tidal Inundation,KM,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
WP22-5,19/07/2019,17000,Salt,Tidal Inundation,KM,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
WP22-3,19/07/2019,10000,Salt,Tidal Inundation,KM,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
WP22-16,19/07/2019,50000,Salt,Tidal Inundation,KM,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
C43-5,19/07/2019,1000,Fresh,Tidal Inundation,KM,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
C43-4,19/07/2019,10000,Fresh,Tidal Inundation,KM,,8. Site only partly inundated,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
C43-6,19/07/2019,8000,Fresh,Tidal Inundation,KM,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
C44-3,19/07/2019,7000,Salt,Tidal Inundation,KM,,5. Breeding mainly in shallow pools,1. Ae. Vigilax,,,,,,,30. No mosquitoes,1. None,19/07/2019,7000,KM,,5. Breeding mainly in shallow pools,Ground,C. Vectobac 12AS (Lt),0.8400 ,1.2,,,,,,,,,,,,,,,
C44-2,19/07/2019,8000,Salt,Tidal Inundation,KM,,5. Breeding mainly in shallow pools,1. Ae. Vigilax,,,,,,,30. No mosquitoes,1. None,19/07/2019,8000,KM,,5. Breeding mainly in shallow pools,Ground,C. Vectobac 12AS (Lt),0.9600 ,1.2,,,,,,,,,,,,,,,
WP23-11,19/07/2019,800,Fresh,Tidal Inundation,KM,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
WP33-2,19/07/2019,7500,Salt,Tidal Inundation,KM,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
WP33-1,19/07/2019,2000,Salt,Tidal Inundation,KM,,8. Site only partly inundated,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
WP33-3,19/07/2019,2400,Salt,Tidal Inundation,KM,,8. Site only partly inundated,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
WP33-4,19/07/2019,1200,Salt,Tidal Inundation,KM,,5. Breeding mainly in shallow pools,1. Ae. Vigilax,,,,,,,30. No mosquitoes,1. None,19/07/2019,1200,KM,,5. Breeding mainly in shallow pools,Ground,C. Vectobac 12AS (Lt),0.1440 ,1.2,,,,,,,,,,,,,,,
WP33-9,19/07/2019,1100,Salt,Tidal Inundation,KM,,1. No breeding,30. No mosquitoes,,,,,,,30. No mosquitoes,1. None,,,,,,,,0.0000 ,,,,,,,,,,,,,,,,
