"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1021.0","1024.2","1023.0","2016-01-01 09:07","1018.9","2016-01-01 14:27","18.7","24.4","2016-01-01 14:46","14.8","2016-01-01 06:25","13.8","73","59","2016-01-01 12:26","3.4","40","9.9","60","2016-01-01 19:17","0.0","0.0","0.0","...","0.0","...","9.4","87.8","13.31","3.2","...","...","...","3.4"
"02","1018.9","1022.1","1021.1","2016-01-02 00:01","1016.4","2016-01-02 15:43","19.3","21.9","2016-01-02 11:08","17.6","2016-01-02 03:34","16.9","87","73","2016-01-02 11:08","3.2","50","8.7","50","2016-01-02 05:14","3.0","6.8","0.5","2016-01-02 16:04","1.5","2016-01-02 16:02","1.3","12.1","5.49","1.4","...","...","...","9.8"
"03","1016.6","1019.8","1018.7","2016-01-03 09:11","1014.7","2016-01-03 14:21","19.2","20.2","2016-01-03 15:33","18.4","2016-01-03 02:02","18.6","96","93","2016-01-03 00:14","3.0","40","9.8","40","2016-01-03 09:52","102.0","18.7","8.5","2016-01-03 10:52","19.5","2016-01-03 10:49","0.0","0.0","1.94","1.9","...","...","...","9.5"
"04","1015.6","1018.7","1017.8","2016-01-04 08:43","1013.9","2016-01-04 15:36","21.4","25.6","2016-01-04 14:10","19.2","2016-01-04 04:23","20.2","93","79","2016-01-04 16:25","2.3","50","6.1","50","2016-01-04 05:02","0.0","0.0","0.0","...","0.0","...","1.4","13.1","8.08","1.6","...","...","...","6.9"
"05","1013.9","1017.0","1015.2","2016-01-05 00:01","1012.0","2016-01-05 15:34","23.0","26.8","2016-01-05 11:56","20.6","2016-01-05 05:27","20.4","85","71","2016-01-05 14:48","2.1","50","6.9","350","2016-01-05 14:21","0.0","0.0","0.0","...","0.0","...","7.4","69.0","13.03","3.5","...","...","...","7.4"
"06","1014.3","1017.5","1017.2","2016-01-06 09:44","1012.2","2016-01-06 03:22","21.2","26.1","2016-01-06 14:29","18.1","2016-01-06 23:03","18.4","85","66","2016-01-06 14:07","4.1","40","13.8","70","2016-01-06 20:23","0.5","0.8","0.5","2016-01-06 07:44","0.5","2016-01-06 07:10","5.4","50.3","10.04","6.8","...","...","...","5.9"
"07","1016.9","1020.1","1018.8","2016-01-07 09:22","1015.5","2016-01-07 13:42","19.2","23.7","2016-01-07 13:21","17.5","2016-01-07 06:55","15.3","78","67","2016-01-07 13:21","4.1","50","12.7","80","2016-01-07 17:32","0.0","0.0","0.0","...","0.0","...","4.3","40.0","11.62","4.3","...","...","...","7.9"
"08","1016.0","1019.2","1017.6","2016-01-08 01:05","1013.1","2016-01-08 14:53","18.4","22.7","2016-01-08 15:14","16.1","2016-01-08 23:36","14.6","79","63","2016-01-08 14:43","4.9","40","14.2","50","2016-01-08 18:16","2.5","2.3","0.5","2016-01-08 01:13","1.5","2016-01-08 01:10","5.9","54.9","12.52","5.0","...","...","...","6.9"
"09","1017.1","1020.3","1018.8","2016-01-09 09:44","1015.2","2016-01-09 13:56","17.9","23.4","2016-01-09 14:01","14.6","2016-01-09 06:08","13.9","77","63","2016-01-09 14:01","3.9","70","13.4","20","2016-01-09 00:02","0.0","0.0","0.0","...","0.0","...","9.4","87.3","14.48","5.0","...","...","...","1.8"
"10","1014.9","1018.1","1017.5","2016-01-10 08:42","1012.9","2016-01-10 14:27","18.6","23.4","2016-01-10 13:17","15.6","2016-01-10 04:29","15.5","82","64","2016-01-10 12:38","3.5","60","9.3","70","2016-01-10 19:34","0.0","0.0","0.0","...","0.0","...","5.7","52.9","10.89","2.6","...","...","...","5.8"
"11","1012.8","1016.0","1015.0","2016-01-11 22:11","1010.7","2016-01-11 15:24","18.3","22.0","2016-01-11 13:16","16.1","2016-01-11 19:08","16.8","91","85","2016-01-11 16:42","4.1","60","16.0","70","2016-01-11 18:09","2.9","2.7","0.8","2016-01-11 17:30","1.8","2016-01-11 17:30","0.0","0.0","3.00","4.7","...","...","...","8.3"
"12","1014.9","1018.1","1017.3","2016-01-12 22:27","1013.2","2016-01-12 14:38","18.3","22.3","2016-01-12 11:52","16.3","2016-01-12 07:08","14.9","81","71","2016-01-12 12:53","4.4","50","12.1","40","2016-01-12 04:18","0.0","0.0","0.0","...","0.0","...","4.7","43.6","10.30","9.3","...","...","...","8.3"
