日期,台南市,區別,里別,調種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,緯度,經度
2017/8/2,台南市,東　區,小東里,住宅,51,4,2,22,24,0,4,4,8,2,17,5,22.9970514,120.227472
2017/8/2,台南市,東　區,大德里,住宅,50,0,4,12,16,0,0,0,0,0,0,0,22.9778817,120.2148485
2017/8/3,台南市,東　區,富強里,住宅,50,3,3,16,19,0,4,4,8,2,21,6,22.9867487,120.2317997
2017/8/3,台南市,東　區,崇誨里,住宅,51,5,8,16,24,0,7,7,14,3,29,7,22.989711,120.2256687
2017/8/3,台南市,東　區,復興里,住宅,50,1,5,8,13,0,2,2,4,1,15,5,22.982061,120.238356
2017/8/3,台南市,東　區,自強里,住宅,50,1,1,11,12,1,0,1,2,1,8,3,22.9824198,120.2332423
2017/8/4,台南市,東　區,東門里,地區,50,2,0,14,14,0,2,2,4,1,14,4,22.9890322,120.2144878
2017/8/4,台南市,東　區,崇明里,地區,50,8,0,27,27,0,10,10,20,4,37,8,22.969188,120.22063
2017/8/4,台南市,東　區,德高里,住宅,50,0,0,30,30,0,0,0,0,0,0,0,22.9665308,120.2354061
2017/8/4,台南市,東　區,富裕里,住宅,50,0,0,7,7,0,0,0,0,0,0,0,22.9849708,120.227472
2017/8/4,台南市,東　區,大學里,地區,50,2,0,10,10,0,3,3,6,2,30,7,22.9963981,120.2209801
2017/8/4,台南市,東　區,圍下里,地區,50,3,4,5,9,0,3,3,6,2,33,8,22.9919771,120.2148485
2017/8/2,台南市,南　區,大林里,住宅,50,1,3,12,15,0,1,1,2,1,7,3,22.9733919,120.2058311
2017/8/3,台南市,南　區,開南里,住宅,50,3,4,29,33,0,3,3,6,2,9,3,22.9668748,120.1856297
2017/8/3,台南市,南　區,喜北里,住宅,50,2,3,21,24,0,2,2,4,1,8,3,22.9490628,120.1776926
2017/8/4,台南市,南　區,日新里,住宅,50,2,5,26,31,0,2,2,4,1,6,3,22.974026,120.1899588
2017/8/4,台南市,南　區,大恩里,住宅,50,0,3,12,15,0,0,0,0,0,0,0,22.9548154,120.2079953
2017/8/4,台南市,南　區,明興里,住宅,50,1,15,6,21,0,1,1,2,1,5,2,22.9629831,120.1914018
2017/8/4,台南市,南　區,府南里,住宅,51,1,8,6,14,0,1,1,2,1,7,3,22.9722988,120.1950093
2017/8/2,台南市,北　區,公園里,住宅,75,0,8,24,32,0,0,0,0,0,0,0,23.0006781,120.2101595
2017/8/2,台南市,北　區,安民里,其他,75,1,8,16,24,0,1,1,1,1,4,2,23.0014504,120.2000596
2017/8/3,台南市,北　區,文元里,其他,50,3,1,25,26,0,3,3,6,2,12,4,23.0146579,120.1978952
2017/8/3,台南市,北　區,裕民里,其他,50,2,4,9,13,1,1,2,4,1,15,5,23.0026166,120.1960915
2017/8/4,台南市,北　區,永祥里,住宅,75,4,11,26,37,0,4,4,5,2,11,4,23.0160134,120.2202587
2017/8/4,台南市,北　區,大豐里,其他,75,2,4,15,19,0,3,3,4,1,16,5,23.0078107,120.1921233
2017/8/4,台南市,北　區,實踐里,住宅,50,0,4,17,21,0,0,0,0,0,0,0,23.0136734,120.2170126
2017/8/4,台南市,北　區,六甲里,住宅,50,0,0,5,5,0,0,0,0,0,0,0,23.0127602,120.2101595
2017/8/1,台南市,中西區,郡王里,住宅,50,2,4,17,21,0,2,2,4,1,10,4,22.986515,120.2072739
2017/8/2,台南市,中西區,五妃里,住宅,50,2,16,32,48,0,2,2,4,1,4,2,22.984132,120.2058311
2017/8/2,台南市,中西區,進學里,住宅,50,0,14,26,40,0,0,0,0,0,0,0,22.9877228,120.2015025
2017/8/3,台南市,中西區,大南里,住宅,50,1,23,10,33,0,1,1,2,1,3,2,22.9847358,120.2029453
2017/8/4,台南市,中西區,開山里,住宅,50,0,15,14,29,0,0,0,0,0,0,0,22.9876646,120.2097988
2017/8/4,台南市,中西區,西賢里,住宅,50,4,15,13,28,1,3,4,8,2,14,4,23.0039814,120.1719199
2017/8/4,台南市,中西區,永華里,住宅,50,0,4,14,18,0,0,0,0,0,0,0,22.9911465,120.2043882
2017/8/2,台南市,安南區,佃西里,住宅,50,4,2,59,61,0,4,4,8,2,7,3,23.0717267,120.1690334
2017/8/2,台南市,安南區,公塭里,住宅,50,4,1,64,65,0,4,4,8,2,6,3,23.0702508,120.1632603
2017/8/2,台南市,安南區,青草里,住宅,50,3,1,46,47,0,3,3,6,2,6,3,23.0732357,120.1040715
2017/8/3,台南市,安南區,溪頂里,住宅,75,0,1,25,26,0,0,0,0,0,0,0,23.0254471,120.2072739
2017/8/3,台南市,安南區,安富里,住宅,75,3,11,24,35,0,3,3,4,1,9,3,23.0251806,120.1957308
2017/8/4,台南市,安南區,新順里,住宅,52,1,6,15,21,0,1,1,2,1,5,2,23.0436829,120.2195374
2017/8/4,台南市,安南區,海佃里,住宅,55,0,1,9,10,0,0,0,0,0,0,0,23.0245267,120.1892373
2017/8/4,台南市,安南區,長安里,住宅,50,2,0,46,46,0,4,4,8,2,9,3,23.0646352,120.1964522
2017/8/4,台南市,安南區,安順里,住宅,51,3,2,38,40,0,3,3,6,2,8,3,23.0500919,120.2209801
2017/8/4,台南市,安南區,佃東里,住宅,50,1,3,10,13,0,1,1,2,1,8,3,23.0724268,120.1849082
2017/8/4,台南市,安南區,淵西里,住宅,50,9,1,36,37,0,10,10,20,4,27,6,23.0562175,120.1661469
2017/8/2,台南市,安平區,建平里,住宅,50,1,1,10,11,0,1,1,2,1,9,3,22.9935103,120.1834651
2017/8/2,台南市,安平區,國平里,住宅,50,2,14,28,42,0,2,2,4,1,5,2,22.9793723,120.1675902
2017/8/3,台南市,安平區,文平里,住宅,50,3,1,17,18,0,3,3,6,2,17,5,22.9860574,120.1805789
2017/8/3,台南市,安平區,華平里,住宅,50,2,10,17,27,0,3,3,6,2,11,4,22.9948005,120.1740847
2017/8/4,台南市,安平區,港仔里,住宅,50,0,2,16,18,0,0,0,0,0,0,0,22.999187,120.1643428
2017/8/4,台南市,安平區,平通里,地區,50,0,1,6,7,0,0,0,0,0,0,0,22.9938422,120.1690334
2017/8/4,台南市,安平區,億載里,住宅,50,3,0,10,10,0,4,4,8,2,40,8,22.9902803,120.1603737
2017/8/4,台南市,安平區,育平里,住宅,50,3,1,12,13,0,3,3,6,2,23,6,22.989074,120.1661469
2017/8/2,台南市,仁德區,土庫里,住宅,50,4,0,27,27,0,4,4,8,2,15,5,22.9888712,120.2604839
2017/8/2,台南市,仁德區,太子里,住宅,50,9,1,30,31,1,12,13,26,4,42,9,22.9912207,120.2584844
2017/8/3,台南市,仁德區,太子里,住宅,50,9,0,23,23,0,17,17,34,4,74,9,22.9912207,120.2584844
2017/8/3,台南市,仁德區,土庫里,地區,50,7,0,56,56,0,15,15,30,4,27,6,22.9888712,120.2604839
2017/8/4,台南市,仁德區,仁德里,住宅,50,1,0,7,7,0,1,1,2,1,14,4,22.9657583,120.2455033
2017/8/4,台南市,仁德區,成功里,住宅,50,5,0,11,11,0,7,7,14,3,64,9,22.9404559,120.225308
2017/8/4,台南市,仁德區,仁德里,住宅,50,2,4,27,31,0,4,4,8,2,13,4,22.9657583,120.2455033
2017/8/4,台南市,仁德區,仁義里,住宅,50,2,0,19,19,0,4,4,8,2,21,6,22.9695788,120.2656955
2017/8/3,台南市,歸仁區,崙頂里,住宅,50,1,0,38,38,0,1,1,2,1,2,2,22.9571231,120.2930943
2017/8/2,台南市,永康區,中華里,住宅,51,1,11,12,23,0,1,1,2,1,4,2,22.999965,120.236499
2017/8/2,台南市,永康區,二王里,住宅,50,1,0,31,31,0,2,2,4,1,6,3,23.0177985,120.2469457
