日期,台南市,區別,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,緯度,經度
2017/10/30,台南市,東　區,文聖里,住宅,50,1,3,6,9,0,1,1,2,1,11,4,22.9840282,120.2447821
2017/10/30,台南市,東　區,後甲里,住宅,50,1,5,3,8,1,0,1,2,1,13,4,22.9927707,120.2382911
2017/10/30,台南市,東　區,崇善里,住宅,50,0,6,12,18,0,0,0,0,0,0,0,22.9736282,120.2303571
2017/10/30,台南市,東　區,南聖里,住宅,50,0,1,4,5,0,0,0,0,0,0,0,22.9890944,120.2462245
2017/10/31,台南市,東　區,虎尾里,住宅,75,2,9,10,19,0,2,2,3,1,11,4,22.9791309,120.2361273
2017/10/31,台南市,東　區,富裕里,住宅,75,0,6,14,20,0,0,0,0,0,0,0,22.9849708,120.227472
2017/11/1,台南市,東　區,虎尾里,住宅,50,1,4,11,15,0,1,1,2,1,7,3,22.9791309,120.2361273
2017/11/1,台南市,東　區,崇誨里,住宅,50,2,10,3,13,1,1,2,4,1,15,5,22.989711,120.2256687
2017/11/1,台南市,東　區,裕農里,住宅,50,2,4,4,8,0,2,2,4,1,25,6,22.9886954,120.2289146
2017/11/2,台南市,東　區,崇文里,地區,50,0,5,3,8,0,0,0,0,0,0,0,22.968559,120.227651
2017/11/2,台南市,東　區,裕聖里,住宅,50,3,5,30,35,3,1,4,8,2,11,4,22.9802195,120.2469457
2017/11/2,台南市,東　區,大福里,住宅,50,0,3,4,7,0,0,0,0,0,0,0,22.9739636,120.2159306
2017/11/2,台南市,東　區,仁和里,住宅,50,1,6,9,15,0,1,1,2,1,7,3,22.9701464,120.2357667
2017/11/2,台南市,東　區,大智里,住宅,50,0,5,7,12,0,0,0,0,0,0,0,22.962286,120.2332423
2017/11/2,台南市,東　區,東光里,住宅,50,0,11,3,14,0,0,0,0,0,0,0,22.992465,120.230914
2017/11/2,台南市,東　區,德高里,住宅,50,3,8,8,16,0,3,3,8,2,19,5,22.9665308,120.2354061
2017/11/2,台南市,東　區,泉南里,地區,50,0,2,7,9,0,0,0,0,0,0,0,22.9847029,120.2159306
