日期,台南市,區別,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,陽性容器戶內,陽性容器戶外,布氏指數,布氏級數,容器指數,容器級數,緯度,經度
2015/10/1,台南市,南　區,國宅里,住宅,352,3,337,154,3,0,1,1,1,1,22.976,120.187
2015/10/1,台南市,南　區,文南里,住宅,336,2,51,46,0,2,1,1,2,1,22.984,120.187
2015/10/1,台南市,中西區,元安里,住宅,308,3,92,38,5,0,2,1,4,2,22.989,120.196
2015/10/1,台南市,東　區,崇信里,住宅,51,5,9,23,0,5,10,3,16,5,22.981,120.227
2015/10/1,台南市,東　區,崇信里,住宅,63,2,12,7,1,1,3,1,11,4,22.981,120.227
2015/10/1,台南市,東　區,中西里,住宅,175,1,26,26,0,1,1,1,2,1,22.991,120.22
2015/10/1,台南市,東　區,崇信里,住宅,75,4,33,27,3,1,5,2,7,3,22.981,120.227
2015/10/2,台南市,北　區,永祥里,住宅,164,3,10,10,1,2,2,1,15,5,23.016,120.22
2015/10/2,台南市,南　區,竹溪里,住宅,79,1,13,15,2,0,3,1,7,3,22.978,120.207
2015/10/2,台南市,南　區,明興里,住宅,275,9,93,65,3,6,3,1,6,3,22.963,120.191
2015/10/2,台南市,南　區,白雪里,住宅,42,2,12,10,0,2,5,2,9,3,22.968,120.189
2015/10/2,台南市,中西區,赤嵌里,住宅,271,4,54,28,3,1,1,1,5,2,22.997,120.207
2015/10/2,台南市,安平區,平通里,住宅,50,1,5,12,0,1,2,1,6,3,22.994,120.169
2015/10/2,台南市,安平區,育平里,住宅,50,3,4,15,1,3,8,2,21,6,22.989,120.166
2015/10/2,台南市,安平區,海頭里,住宅,50,1,1,3,1,0,2,1,25,6,23.003,120.163
2015/10/2,台南市,東　區,崇信里,住宅,286,2,85,77,0,6,2,1,4,2,22.981,120.227
2015/10/2,台南市,東　區,德光里,住宅,50,1,2,13,1,0,2,1,7,3,22.981,120.22
2015/10/2,台南市,東　區,富裕里,住宅,72,1,12,10,0,1,1,1,5,2,22.985,120.227
2015/10/2,台南市,東　區,富強里,住宅,83,2,7,13,0,2,2,1,10,4,22.987,120.232
2015/10/2,台南市,東　區,德光里,住宅,83,1,9,16,0,1,1,1,4,2,22.981,120.22
2015/10/3,台南市,南　區,日新里,住宅,244,3,40,30,1,2,1,1,4,2,22.974,120.19
2015/10/3,台南市,東　區,富強里,住宅,494,5,68,103,1,4,1,1,3,2,22.987,120.232
2015/10/3,台南市,東　區,富強里,住宅,384,6,99,95,1,5,2,1,3,2,22.987,120.232
2015/10/4,台南市,永康區,埔園里,住宅,187,10,39,81,3,7,5,2,8,3,23.034,120.258
2015/10/4,台南市,永康區,正強里,住宅,404,17,139,110,10,9,5,2,8,3,23.029,120.252
2015/10/4,台南市,北　區,國興里,住宅,267,2,50,39,1,1,1,1,2,1,23.009,120.226
2015/10/4,台南市,北　區,五福里,住宅,188,1,23,3,1,0,1,1,4,2,23,120.203
2015/10/4,台南市,南　區,金華里,住宅,88,2,19,17,2,0,2,1,6,3,22.98,120.189
2015/10/5,台南市,中西區,協和里,住宅,486,2,84,29,3,0,1,1,3,2,23.002,120.193
2015/10/5,台南市,中西區,赤嵌里,住宅,146,2,31,12,3,0,2,1,7,3,22.997,120.207
2015/10/5,台南市,安平區,港仔里,住宅,50,1,2,6,1,0,2,1,13,4,22.999,120.164
2015/10/5,台南市,東　區,莊敬里,住宅,94,3,14,15,2,3,5,2,17,5,22.997,120.233
2015/10/5,台南市,東　區,莊敬里,住宅,65,1,7,9,0,1,2,1,6,3,22.997,120.233
2015/10/5,台南市,東　區,莊敬里,住宅,62,2,8,8,2,2,6,2,25,6,22.997,120.233
2015/10/5,台南市,東　區,圍下里,住宅,110,3,32,20,3,0,3,1,6,3,22.992,120.215
2015/10/5,台南市,南　區,金華里,住宅,76,1,46,12,0,1,1,1,2,1,22.98,120.189
2015/10/5,台南市,北　區,大仁里,住宅,242,1,14,15,0,1,0,1,3,2,23.007,120.215
2015/10/6,台南市,南　區,喜北里,住宅,57,2,18,19,0,2,4,1,5,2,22.949,120.178
2015/10/6,台南市,東　區,大同里,住宅,70,3,9,10,1,3,6,2,21,6,22.984,120.213
2015/10/6,台南市,東　區,大智里,住宅,190,1,38,26,0,1,1,1,2,1,22.962,120.233
2015/10/6,台南市,東　區,小東里,住宅,615,1,131,75,0,1,0,1,0,1,22.997,120.227
2015/10/6,台南市,東　區,莊敬里,住宅,115,1,12,16,0,1,1,1,4,2,22.997,120.233
2015/10/6,台南市,東　區,大智里,住宅,51,1,9,3,0,1,2,1,8,3,22.962,120.233
2015/10/6,台南市,安平區,海頭里,住宅,308,2,41,75,1,1,1,1,2,1,23.003,120.163
2015/10/6,台南市,中西區,三合里,住宅,200,1,4,23,0,1,1,1,4,2,23,120.196
2015/10/6,台南市,南　區,大林里,住宅,57,1,20,28,0,5,9,2,10,4,22.973,120.206
2015/10/6,台南市,永康區,中興里,住宅,195,1,32,60,0,1,1,1,1,1,23.006,120.238
2015/10/6,台南市,永康區,中興里,住宅,204,6,75,18,4,2,3,1,6,3,23.006,120.238
2015/10/6,台南市,永康區,中興里,住宅,199,3,45,40,3,0,2,1,4,2,23.006,120.238
2015/10/7,台南市,北　區,新勝里,住宅,224,2,31,20,0,2,1,1,4,2,23.009,120.221
2015/10/7,台南市,東　區,大同里,住宅,74,1,17,13,0,1,1,1,3,2,22.984,120.213
2015/10/7,台南市,東　區,大同里,住宅,60,1,4,13,1,0,2,1,6,3,22.984,120.213
2015/10/7,台南市,東　區,大同里,住宅,87,5,2,19,0,6,7,2,29,7,22.984,120.213
2015/10/7,台南市,東　區,大智里,住宅,115,1,6,12,0,1,1,1,6,3,22.962,120.233
2015/10/7,台南市,東　區,東安里,住宅,326,4,40,45,4,2,2,1,7,3,22.987,120.221
2015/10/7,台南市,東　區,大智里,住宅,62,2,6,69,0,2,3,1,3,2,22.962,120.233
2015/10/7,台南市,永康區,勝利里,住宅,442,6,60,80,2,4,1,1,4,2,23.005,120.233
2015/10/7,台南市,永康區,勝利里,住宅,476,5,75,21,1,4,1,1,5,2,23.005,120.233
2015/10/7,台南市,南　區,大忠里,住宅,283,2,57,53,1,1,1,1,2,1,22.97,120.21
2015/10/7,台南市,南　區,大忠里,住宅,350,1,79,35,1,0,0,1,1,1,22.97,120.21
2015/10/8,台南市,南　區,白雪里,住宅,283,2,73,63,0,2,1,1,1,1,22.968,120.189
2015/10/8,台南市,南　區,金華里,住宅,318,1,59,59,0,1,0,1,1,1,22.98,120.189
2015/10/8,台南市,永康區,西橋里,住宅,320,1,49,19,1,0,0,1,1,1,23.013,120.226
2015/10/8,台南市,永康區,勝利里,住宅,300,1,70,24,1,0,0,1,1,1,23.005,120.233
2015/10/8,台南市,永康區,西橋里,住宅,79,1,17,7,0,1,1,1,4,2,23.013,120.226
2015/10/8,台南市,北　區,大豐里,住宅,282,2,52,34,3,0,1,1,3,2,23.008,120.192
2015/10/8,台南市,安平區,港仔里,住宅,163,2,20,24,0,2,1,1,5,2,22.999,120.164
2015/10/8,台南市,東　區,大同里,住宅,337,4,45,58,2,2,1,1,4,2,22.984,120.213
2015/10/8,台南市,東　區,南聖里,住宅,381,3,67,102,1,3,1,1,2,1,22.989,120.246
2015/10/8,台南市,北　區,力行里,住宅,204,2,52,34,3,0,1,1,3,2,23.008,120.229
2015/10/9,台南市,安平區,港仔里,住宅,257,6,76,109,2,4,2,1,3,2,22.999,120.164
2015/10/9,台南市,南　區,田寮里,住宅,96,1,13,20,1,0,1,1,3,2,22.977,120.196
2015/10/9,台南市,中西區,仙草里,住宅,187,2,45,60,1,1,1,1,2,1,22.984,120.199
2015/10/9,台南市,中西區,仙草里,住宅,209,2,69,14,2,0,1,1,2,1,22.984,120.199
2015/10/9,台南市,永康區,勝利里,住宅,278,1,100,49,1,0,0,1,1,1,23.005,120.233
2015/10/9,台南市,永康區,勝利里,住宅,310,5,111,125,1,4,2,1,2,1,23.005,120.233
2015/10/9,台南市,南　區,田寮里,住宅,96,2,23,13,2,0,2,1,6,3,22.977,120.196
2015/10/9,台南市,南　區,竹溪里,住宅,253,7,69,85,2,5,3,1,5,2,22.978,120.207
2015/10/9,台南市,北　區,成功里,住宅,198,2,26,47,0,2,1,1,3,2,23.02,120.209
2015/10/9,台南市,東　區,大德里,住宅,269,5,78,40,6,1,3,1,6,3,22.978,120.215
2015/10/9,台南市,東　區,衛國里,住宅,480,4,70,81,4,0,1,1,3,2,22.988,120.225
