日期,區別,里別,調查種類,調查戶數,陽性戶數,調查容器數戶內,調查容器數戶外,陽性容器數戶內,陽性容器數戶外,布氏指數,布氏級數,容器指數,容器級數
104/1/11,安定區,海寮里,住宅,50,0,0,4,0,0,0,0,0,0
104/1/13,安定區,安定里,住宅,50,0,0,4,0,0,0,0,0,0
104/1/16,安定區,海寮里,住宅,50,0,0,5,0,0,0,0,0,0
104/1/20,安定區,保西里,住宅,50,0,0,9,0,0,0,0,0,0
104/1/22,安定區,新吉里,住宅,50,0,0,4,0,0,0,0,0,0
104/1/22,安定區,中榮里,住宅,50,0,0,8,0,0,0,0,0,0
104/2/11,安定區,港南里,住宅,50,0,0,8,0,0,0,0,0,0
104/2/13,安定區,蘇厝里,住宅,50,0,0,5,0,0,0,0,0,0
104/2/24,安定區,港口里,住宅,50,0,0,7,0,0,0,0,0,0
104/2/25,安定區,六嘉里,住宅,50,0,0,5,0,0,0,0,0,0
104/2/5,安定區,蘇林里,住宅,50,0,0,7,0,0,0,0,0,0
104/2/8,安定區,中沙里,住宅,50,0,0,10,0,0,0,0,0,0
104/3/15,安定區,港尾里,住宅,50,0,0,11,0,0,0,0,0,0
104/3/17,安定區,中沙里,住宅,50,0,0,3,0,0,0,0,0,0
104/3/18,安定區,新吉里,住宅,50,0,0,3,0,0,0,0,0,0
104/3/19,安定區,南安里,住宅,50,0,0,3,0,0,0,0,0,0
104/3/20,安定區,安定里,住宅,50,0,0,2,0,0,0,0,0,0
104/3/20,安定區,南安里,住宅,50,0,0,4,0,0,0,0,0,0
104/4/12,安定區,管寮里,住宅,50,0,0,13,0,0,0,0,0,0
104/4/13,安定區,海寮里,住宅,50,0,0,2,0,0,0,0,0,0
104/4/16,安定區,港口里,住宅,50,0,0,16,0,0,0,0,0,0
104/4/22,安定區,蘇厝里,住宅,50,0,0,6,0,0,0,0,0,0
104/4/22,安定區,港南里,住宅,50,0,0,2,0,0,0,0,0,0
104/4/22,安定區,安定里,住宅,50,0,0,7,0,0,0,0,0,0
104/5/10,安定區,港南里,住宅,50,0,0,5,0,0,0,0,0,0
104/5/13,安定區,蘇林里,住宅,50,0,0,2,0,0,0,0,0,0
