日期,台南市,區別,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,經度,緯度
106/5/31,台南市,東　區,龍山里,住宅,50,1,1,18,19,0,1,1,2,1,5,2,120.2217014,22.9834946
106/5/31,台南市,東　區,仁和里,住宅,50,1,2,11,13,0,1,1,2,1,8,3,120.235827,22.970364
106/6/1,台南市,東　區,後甲里,住宅,75,0,7,13,20,0,0,0,0,0,0,0,120.2382911,22.9927707
106/6/2,台南市,東　區,中西里,住宅,59,2,8,13,21,0,2,2,3,1,10,4,120.2202587,22.9905086
106/6/2,台南市,東　區,東門里,住宅,53,3,0,17,17,0,3,3,6,2,18,5,120.2144878,22.9890322
106/6/3,台南市,東　區,富強里,住宅,51,3,1,18,19,2,3,5,10,3,26,6,120.2317997,22.9867487
106/6/3,台南市,東　區,文聖里,住宅,50,5,0,14,14,0,10,10,20,4,71,9,120.2447821,22.9840282
106/5/31,台南市,南　區,明興里,住宅,50,3,9,20,29,0,4,4,8,2,14,4,120.1914018,22.9629831
106/5/31,台南市,南　區,開南里,住宅,50,0,3,13,16,0,0,0,0,0,0,0,120.1856297,22.9668748
106/6/1,台南市,南　區,國宅里,住宅,50,5,4,24,28,0,6,6,12,3,21,6,120.1870727,22.9759721
106/6/2,台南市,南　區,新昌里,住宅,50,1,9,18,27,0,1,1,2,1,4,2,120.1957308,22.9835601
106/6/2,台南市,南　區,文南里,住宅,50,1,4,13,17,0,1,1,2,1,6,3,120.1870727,22.9840282
106/6/3,台南市,南　區,建南里,住宅,50,0,9,15,24,0,0,0,0,0,0,0,120.1964522,22.9572284
106/6/3,台南市,南　區,新興里,住宅,50,2,8,18,26,0,2,2,4,1,8,3,120.19537,22.9799434
106/5/31,台南市,北　區,正風里,其他,50,1,4,21,25,0,1,1,2,1,4,2,120.2148485,23.0154694
106/5/31,台南市,北　區,國興里,其他,50,3,3,13,16,1,2,3,6,2,19,5,120.2260293,23.0094345
106/6/1,台南市,北　區,三德里,住宅,50,2,1,12,13,1,1,2,4,1,15,5,120.2047489,23.000133
106/6/1,台南市,北　區,興南里,住宅,50,0,4,15,19,0,0,0,0,0,0,0,120.2087167,23.0036652
106/6/1,台南市,北　區,中樓里,住宅,50,3,3,10,13,0,3,3,6,2,23,6,120.2159306,23.0034966
106/6/2,台南市,北　區,六甲里,其他,50,0,1,13,14,0,0,0,0,0,0,0,120.2101595,23.0127602
106/6/2,台南市,北　區,成德里,其他,50,0,2,10,12,0,0,0,0,0,0,0,120.2036668,23.0134491
106/6/2,台南市,北　區,光武里,其他,50,0,2,9,11,0,0,0,0,0,0,0,120.2162913,23.0124822
106/6/2,台南市,北　區,勝安里,其他,50,1,2,9,11,0,1,1,2,1,9,3,120.217734,23.0074816
106/6/3,台南市,北　區,大和里,住宅,50,1,5,17,22,1,0,1,2,1,5,2,120.1914018,23.0153463
106/6/3,台南市,北　區,華興里,住宅,50,3,7,10,17,2,2,4,8,2,24,6,120.2249474,23.0073122
106/5/31,台南市,中西區,文賢里,住宅,50,4,13,18,31,1,3,4,8,2,13,4,120.1932056,23.003892
106/5/31,台南市,中西區,西賢里,住宅,50,1,7,12,19,0,1,1,2,1,5,2,120.1719199,23.0039814
106/6/1,台南市,中西區,開山里,住宅,50,1,2,5,7,0,1,1,2,1,14,4,120.2097988,22.9876646
