日期,臺南市,區別,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,緯度,經度
2018/1/28,臺南市,東　區,崇成里,住宅,50,0,35,3,38,0,0,0,0,0,0,0,22.969311,120.227193
2018/1/29,臺南市,東　區,崇文里,住宅,50,0,4,7,11,0,0,0,0,0,0,0,22.9677389,120.2296358
2018/1/29,臺南市,東　區,大同里,住宅,50,1,0,10,10,0,1,1,2,1,10,4,22.9839645,120.2130451
2018/1/29,臺南市,東　區,東智里,住宅,50,0,11,8,19,0,0,0,0,0,0,0,22.9629737,120.2267506
2018/1/29,臺南市,東　區,東聖里,住宅,50,0,6,8,14,0,0,0,0,0,0,0,22.9861443,120.2346848
2018/1/30,臺南市,東　區,東光里,住宅,50,0,4,3,7,0,0,0,0,0,0,0,22.99242,120.2303571
2018/1/30,臺南市,東　區,裕聖里,住宅,50,1,6,7,13,0,1,1,2,1,8,3,22.9802195,120.2469457
2018/1/30,臺南市,東　區,大學里,住宅,50,1,11,4,15,0,1,1,2,1,7,3,22.9963981,120.2209801
2018/1/30,臺南市,東　區,大德里,住宅,50,0,2,8,10,0,0,0,0,0,0,0,22.9778817,120.2148485
2018/1/31,臺南市,東　區,圍下里,住宅,50,0,4,12,16,0,0,0,0,0,0,0,22.9919771,120.2148485
2018/1/31,臺南市,東　區,復興里,住宅,50,0,3,4,7,0,0,0,0,0,0,0,22.982061,120.238356
2018/1/31,臺南市,東　區,崇善里,住宅,50,0,3,7,10,0,0,0,0,0,0,0,22.9736282,120.2303571
2018/1/31,臺南市,東　區,崇善里,住宅,50,0,3,7,10,0,0,0,0,0,0,0,22.9736282,120.2303571
2018/2/1,臺南市,東　區,仁和里,住宅,50,1,5,9,14,0,1,1,2,1,7,3,22.9591394,120.224226
2018/2/1,臺南市,東　區,泉南里,住宅,50,1,4,6,10,0,1,1,2,1,10,4,22.9847029,120.2159306
2018/2/1,臺南市,東　區,仁和里,住宅,50,1,5,9,14,0,1,1,2,1,7,3,22.9591394,120.224226
2018/2/1,臺南市,東　區,大智里,住宅,50,0,0,10,10,0,0,0,0,0,0,0,22.962286,120.2332423
2018/2/1,臺南市,東　區,成大里,住宅,50,0,7,27,34,0,0,0,0,0,0,0,22.9976069,120.2152092
2018/2/1,臺南市,東　區,崇德里,住宅,50,0,0,11,11,0,0,0,0,0,0,0,22.9745344,120.2260293
2018/2/1,臺南市,東　區,德高里,住宅,50,0,5,11,16,0,0,0,0,0,0,0,22.965884,120.235589
2018/2/2,臺南市,東　區,富強里,住宅,50,0,7,27,34,0,0,0,0,0,0,0,22.9867487,120.2317997
2018/2/2,臺南市,東　區,東門里,住宅,50,0,1,11,12,0,0,0,0,0,0,0,22.9890322,120.2144878
2018/1/29,臺南市,南　區,喜北里,住宅,51,3,1,21,22,0,5,5,10,3,23,6,22.9490628,120.1776926
2018/1/29,臺南市,南　區,文華里,住宅,50,0,3,14,17,0,0,0,0,0,0,0,22.98611,120.1899588
2018/1/30,臺南市,南　區,佛壇里,住宅,50,1,5,33,38,0,1,1,2,1,3,2,22.9195212,120.1776926
2018/1/30,臺南市,南　區,建南里,住宅,50,1,2,9,11,0,1,1,2,1,9,3,22.9572284,120.1964522
