日期,臺南市,區別,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,緯度,經度
2018/3/12,臺南市,東　區,崇學里,住宅,51,0,2,14,16,0,0,0,0,0,0,0,22.9778231,120.2231441
2018/3/12,臺南市,東　區,和平里,住宅,50,0,3,8,11,0,0,0,0,0,0,0,22.9745842,120.2354061
2018/3/12,臺南市,東　區,後甲里,住宅,75,0,4,17,21,0,0,0,0,0,0,0,22.9927707,120.2382911
2018/3/12,臺南市,東　區,中西里,住宅,50,0,2,21,23,0,0,0,0,0,0,0,22.9905086,120.2202587
2018/3/12,臺南市,東　區,崇德里,住宅,50,0,0,7,7,0,0,0,0,0,0,0,22.9745344,120.2260293
2018/3/13,臺南市,東　區,大智里,住宅,51,0,1,13,14,0,0,0,0,0,0,0,22.962286,120.2332423
2018/3/13,臺南市,東　區,復興里,住宅,50,0,1,2,3,0,0,0,0,0,0,0,22.982061,120.238356
2018/3/13,臺南市,東　區,大福里,住宅,50,0,4,2,6,0,0,0,0,0,0,0,22.9739636,120.2159306
2018/3/13,臺南市,東　區,大同里,住宅,50,0,6,11,17,0,0,0,0,0,0,0,22.9839645,120.2130451
2018/3/14,臺南市,東　區,崇信里,住宅,52,0,19,16,35,0,0,0,0,0,0,0,22.9809439,120.227472
2018/3/14,臺南市,東　區,小東里,住宅,75,0,3,10,13,0,0,0,0,0,0,0,22.9970514,120.227472
2018/3/15,臺南市,東　區,德高里,住宅,51,0,1,19,20,0,0,0,0,0,0,0,22.965884,120.235589
2018/3/15,臺南市,東　區,崇明里,住宅,50,0,8,5,13,0,0,0,0,0,0,0,22.969188,120.22063
2018/3/15,臺南市,東　區,大同里,住宅,50,0,1,5,6,0,0,0,0,0,0,0,22.9839645,120.2130451
2018/3/15,臺南市,東　區,文聖里,住宅,50,0,0,9,9,0,0,0,0,0,0,0,22.9840282,120.2447821
2018/3/16,臺南市,東　區,南聖里,住宅,50,0,0,11,11,0,0,0,0,0,0,0,22.9890944,120.2462245
2018/3/16,臺南市,東　區,忠孝里,住宅,75,1,8,33,41,0,1,1,1,1,2,1,22.9773869,120.218816
2018/3/16,臺南市,東　區,虎尾里,住宅,77,0,5,58,63,0,0,0,0,0,0,0,22.9791309,120.2361273
2018/3/16,臺南市,東　區,崇誨里,住宅,50,0,5,2,7,0,0,0,0,0,0,0,22.989711,120.2256687
2018/3/12,臺南市,南　區,同安里,住宅,50,0,10,15,25,0,0,0,0,0,0,0,22.9224836,120.1892373
2018/3/12,臺南市,南　區,建南里,住宅,50,0,12,6,18,0,0,0,0,0,0,0,22.9572284,120.1964522
2018/3/12,臺南市,南　區,喜北里,住宅,50,0,3,29,32,0,0,0,0,0,0,0,22.9490628,120.1776926
2018/3/12,臺南市,南　區,大成里,住宅,50,0,6,11,17,0,0,0,0,0,0,0,22.9802712,120.1986166
2018/3/13,臺南市,南　區,永寧里,住宅,50,1,6,15,21,0,1,1,2,1,5,2,22.9291405,120.1798573
2018/3/13,臺南市,南　區,南華里,住宅,50,0,5,18,23,0,0,0,0,0,0,0,22.9622436,120.1885158
2018/3/13,臺南市,南　區,松安里,住宅,50,0,3,12,15,0,0,0,0,0,0,0,22.9248924,120.1776926
2018/3/13,臺南市,南　區,南都里,住宅,50,1,3,12,15,0,1,1,2,1,7,3,22.9550918,120.1841866
