日期,臺南市,區別,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,經度,緯度
2018/8/12,臺南市,東　區,龍山里,住宅,50,4,7,8,15,2,6,8,16,3,53,9,22.9834946,120.2217014
2018/8/12,臺南市,東　區,龍山里,住宅,50,1,0,7,7,0,1,1,2,1,14,4,22.9834946,120.2217014
2018/8/13,臺南市,東　區,龍山里,住宅,50,1,4,7,11,1,0,1,2,1,9,3,22.9834946,120.2217014
2018/8/13,臺南市,東　區,龍山里,住宅,50,10,15,27,42,2,8,10,20,4,24,6,22.9834946,120.2217014
2018/8/13,臺南市,東　區,龍山里,住宅,97,4,65,25,90,1,4,5,5,2,6,3,22.9834946,120.2217014
2018/8/14,臺南市,東　區,圍下里,住宅,50,2,0,8,8,0,2,2,4,1,25,6,22.9919771,120.2148485
2018/8/14,臺南市,東　區,裕聖里,住宅,50,6,2,43,45,0,6,6,12,3,13,4,22.9802195,120.2469457
2018/8/14,臺南市,東　區,大智里,住宅,50,5,6,39,45,0,5,5,10,3,11,4,22.962286,120.2332423
2018/8/14,臺南市,東　區,崇明里,住宅,50,2,4,11,15,0,2,2,4,1,13,4,22.969188,120.22063
2018/8/15,臺南市,東　區,自強里,住宅,50,6,3,46,49,0,6,6,12,3,12,4,22.9824198,120.2332423
2018/8/15,臺南市,東　區,大學里,住宅,51,2,2,10,12,0,3,3,6,2,25,6,22.9963981,120.2209801
2018/8/15,臺南市,東　區,新東里,住宅,59,4,5,9,14,1,3,4,7,2,29,7,22.9865063,120.2249474
2018/8/16,臺南市,東　區,大德里,住宅,50,0,0,17,17,0,0,0,0,0,0,0,22.9778817,120.2148485
2018/8/16,臺南市,東　區,大同里,住宅,50,5,5,34,39,1,4,5,10,3,13,4,22.9839645,120.2130451
2018/8/16,臺南市,東　區,關聖里,住宅,21,1,1,19,20,1,0,1,5,2,5,2,22.985975,120.2418972
2018/8/16,臺南市,東　區,德高里,住宅,50,4,0,11,11,0,4,4,8,2,36,8,22.9665308,120.2354061
2018/8/16,臺南市,東　區,復興里,住宅,27,0,1,22,23,0,0,0,0,0,0,0,22.982061,120.238356
2018/8/16,臺南市,東　區,和平里,住宅,20,0,0,5,5,0,0,0,0,0,0,0,22.9745842,120.2354061
2018/8/17,臺南市,東　區,文聖里,住宅,51,2,1,24,25,0,2,2,4,1,8,3,22.9840282,120.2447821
2018/8/17,臺南市,東　區,後甲里,住宅,50,0,0,25,25,0,0,0,0,0,0,0,22.9927707,120.2382911
2018/8/17,臺南市,東　區,成大里,住宅,51,0,0,16,16,0,0,0,0,0,0,0,22.9976069,120.2152092
2018/8/12,臺南市,南　區,開南里,住宅,50,0,0,2,2,0,0,0,0,0,0,0,22.9668748,120.1856297
2018/8/13,臺南市,南　區,南都里,住宅,30,0,7,8,15,0,0,0,0,0,0,0,22.9550918,120.1841866
2018/8/13,臺南市,南　區,永寧里,住宅,50,1,3,21,24,0,1,1,2,1,4,2,22.9291405,120.1798573
2018/8/13,臺南市,南　區,松安里,住宅,31,0,3,10,13,0,0,0,0,0,0,0,22.9248924,120.1776926
2018/8/14,臺南市,南　區,郡南里,住宅,50,1,7,11,18,0,1,1,2,1,6,3,22.964243,120.1950093
2018/8/14,臺南市,南　區,省躬里,住宅,50,4,6,41,47,0,4,4,8,2,9,3,22.9338276,120.1863512
2018/8/14,臺南市,南　區,明興里,住宅,50,3,7,7,14,0,3,3,6,2,21,6,22.9629831,120.1914018
2018/8/14,臺南市,南　區,同安里,住宅,50,3,7,20,27,0,3,3,6,2,11,4,22.9224836,120.1892373
