日期,臺南市,區別,里別,"調查種類","調查戶數","陽性戶數",調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,經度,緯度
2019/10/1,臺南市,東　區,大福里,住宅,50,0,2 ,7 ,9 ,0 ,0 ,0 ,0 ,0,0 ,0,120.2159306,22.9739636
2019/10/1,臺南市,東　區,大學里,住宅,55,0,0,11,11,0,0,0,0,0,0,0,120.2209801,22.9963981
2019/10/3,臺南市,東　區,小東里,地區,50,0,2 ,6 ,8 ,0 ,0 ,0 ,0 ,0,0 ,0,120.227472,22.9970514
2019/10/5,臺南市,東　區,小東里,住宅,50,1,8 ,5 ,13 ,0 ,2 ,2 ,4 ,1,15 ,5,120.227472,22.9970514
2019/10/2,臺南市,東　區,中西里,住宅,50,0,4 ,3 ,7 ,0 ,0 ,0 ,0 ,0,0 ,0,120.2202587,22.9905086
2019/10/2,臺南市,東　區,仁和里,住宅,50,1,5 ,7 ,12 ,0 ,1 ,1 ,2 ,1,8 ,3,120.2357667,22.9701464
2019/10/2,臺南市,東　區,文聖里,住宅,50,1,2,1,3,0,1,1,2,1,33,8,120.2447821,22.9840282
2019/10/1,臺南市,東　區,自強里,住宅,53,0,0,3,3,0,0,0,0,0,0,0,120.2352021,22.9838731
2019/10/3,臺南市,東　區,自強里,住宅,50,0,0,6,6,0,0,0,0,0,0,0,120.2352021,22.9838731
2019/10/4,臺南市,東　區,東安里,住宅,50,1,10,6,16,1,0,1,2,1,6,3,120.2213407,22.9872616
2019/10/3,臺南市,東　區,東明里,住宅,50,2,2,8,10,0,2,2,4,1,20,5,120.227472,22.9916823
2019/10/5,臺南市,東　區,東明里,住宅,50,2,13,8,21,1,1,2,4,1,10,4,120.227472,22.9916823
2019/9/30,臺南市,東　區,東門里,住宅,75,0,0,4,4,0,0,0,0,0,0,0,120.2144878,22.9890322
2019/10/1,臺南市,東　區,東智里,住宅,50,0,13,3,16,0,0,0,0,0,0,0,120.2267506,22.9629737
2019/9/29,臺南市,東　區,後甲里,住宅,50,2,5,4,9,1,1,2,4,1,22,6,120.2382911,22.9927707
2019/9/29,臺南市,東　區,後甲里,住宅,60,0,0,0,0,0,0,0,0,0,0,0,120.2382911,22.9927707
2019/10/3,臺南市,東　區,後甲里,住宅,50,0,4,0,4,0,0,0,0,0,0,0,120.2382911,22.9927707
2019/10/4,臺南市,東　區,後甲里,住宅,50,0,7,8,15,0,0,0,0,0,0,0,120.2382911,22.9927707
2019/10/4,臺南市,東　區,後甲里,住宅,50,0,12,9,21,0,0,0,0,0,0,0,120.2382911,22.9927707
2019/10/2,臺南市,東　區,泉南里,住宅,50,0,8,0,8,0,0,0,0,0,0,0,120.2159306,22.9847029
2019/10/4,臺南市,東　區,崇成里,住宅,50,0,1,5,6,0,0,0,0,0,0,0,120.227651,22.968559
2019/10/4,臺南市,東　區,崇信里,住宅,50,2,0,5,5,0,2,2,4,1,40,8,120.227472,22.9809439
2019/10/2,臺南市,東　區,崇誨里,住宅,50,0,4,0,4,0,0,0,0,0,0,0,120.2256687,22.989711
2019/10/4,臺南市,東　區,崇誨里,市場,50,0,6,1,7,0,0,0,0,0,0,0,120.2256687,22.989711
2019/10/4,臺南市,東　區,圍下里,住宅,53,0,2,2,4,0,0,0,0,0,0,0,120.2148485,22.9919771
2019/9/30,臺南市,東　區,德高里,住宅,50,1,0,11,11,0,1,1,2,1,9,3,120.2354061,22.9665308
2019/10/3,臺南市,東　區,德高里,住宅,54,0,2,23,25,0,0,0,0,0,0,0,120.2354061,22.9665308
2019/10/3,臺南市,南　區,大成里,住宅,50,1,7,4,11,0,1,1,2,1,9,3,120.1986166,22.9802712
2019/10/5,臺南市,南　區,大忠里,住宅,50,0,11,6,17,0,0,0,0,0,0,0,120.2101595,22.9698014
2019/10/4,臺南市,南　區,大林里,住宅,50,0,3,2,5,0,0,0,0,0,0,0,120.2058311,22.9733919
2019/10/3,臺南市,南　區,文南里,住宅,50,1,5,9,14,0,1,1,2,1,7,3,120.1870727,22.9840282
2019/10/3,臺南市,南　區,文華里,住宅,50,0,6,2,8,0,0,0,0,0,0,0,120.1899588,22.98611
2019/10/4,臺南市,南　區,永寧里,住宅,50,2,3,21,24,0,2,2,4,1,8,3,120.1798573,22.9291405
