日期,臺南市,區別,里別,"調查種類","調查戶數","陽性戶數",調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,經度,緯度
2019/11/4,臺南市,東　區,大福里,住宅,50,0,6 ,8 ,14 ,0 ,0 ,0 ,0 ,0,0 ,0,120.2159306,22.9739636
2019/11/7,臺南市,東　區,小東里,住宅,50,0,0,9,9,0,0,0,0,0,0,0,120.227472,22.9970514
2019/11/7,臺南市,東　區,中西里,住宅,50,0,11 ,1 ,12 ,0 ,0 ,0 ,0 ,0,0 ,0,120.2202587,22.9905086
2019/11/6,臺南市,東　區,文聖里,住宅,50,0,2 ,0 ,2 ,0 ,0 ,0 ,0 ,0,0 ,0,120.2447821,22.9840282
2019/11/7,臺南市,東　區,自強里,住宅,50,0,1 ,1 ,2 ,0 ,0 ,0 ,0 ,0,0 ,0,120.2352021,22.9838731
2019/11/8,臺南市,東　區,自強里,住宅,50,0,2 ,11 ,13 ,0 ,0 ,0 ,0 ,0,0 ,0,120.2352021,22.9838731
2019/11/8,臺南市,東　區,自強里,住宅,50,0,0,4,4,0,0,0,0,0,0,0,120.2352021,22.9838731
2019/11/4,臺南市,東　區,東光里,住宅,50,0,4,3,7,0,0,0,0,0,0,0,120.2303571,22.99242
2019/11/8,臺南市,東　區,東安里,住宅,51,0,6,0,6,0,0,0,0,0,0,0,120.2213407,22.9872616
2019/11/4,臺南市,東　區,東門里,住宅,50,0,0,3,3,0,0,0,0,0,0,0,120.2144878,22.9890322
2019/11/7,臺南市,東　區,東聖里,住宅,50,0,8,4,12,0,0,0,0,0,0,0,120.3291365,23.2727983
2019/11/7,臺南市,東　區,南聖里,住宅,50,1,1,3,4,0,1,1,2,1,25,6,120.2462245,22.9890944
2019/11/5,臺南市,東　區,崇信里,住宅,52,0,12,6,18,0,0,0,0,0,0,0,120.227472,22.9809439
2019/11/4,臺南市,東　區,崇善里,住宅,50,1,4,4,8,0,1,1,2,1,13,4,120.2303571,22.9736282
2019/11/4,臺南市,東　區,崇誨里,住宅,50,0,2,1,3,0,0,0,0,0,0,0,120.2256687,22.989711
2019/11/7,臺南市,東　區,崇學里,住宅,50,1,6,7,13,1,0,1,2,1,8,3,120.2231441,22.9778231
2019/11/8,臺南市,東　區,莊敬里,住宅,50,0,5,5,10,0,0,0,0,0,0,0,120.232521,22.9966645
2019/11/7,臺南市,東　區,圍下里,地區,50,0,7,4,11,0,0,0,0,0,0,0,120.2148485,22.9919771
2019/11/6,臺南市,東　區,富裕里,住宅,50,0,4,6,10,0,0,0,0,0,0,0,120.227472,22.9849708
2019/11/4,臺南市,東　區,復興里,住宅,50,0,2,4,6,0,0,0,0,0,0,0,120.2375698,22.9815131
2019/11/4,臺南市,東　區,新東里,住宅,50,0,0,4,4,0,0,0,0,0,0,0,120.2249474,22.9865063
2019/11/5,臺南市,東　區,德光里,住宅,50,0,7,4,11,0,0,0,0,0,0,0,120.2202587,22.981112
2019/11/8,臺南市,東　區,德高里,住宅,50,1,0,8,8,0,1,1,2,1,13,4,120.2354061,22.9665308
2019/11/6,臺南市,東　區,關聖里,住宅,51,0,2,10,12,0,0,0,0,0,0,0,120.2418972,22.985975
2019/11/7,臺南市,東　區,關聖里,住宅,50,0,0,3,3,0,0,0,0,0,0,0,120.2418972,22.985975
2019/11/6,臺南市,南　區,大成里,住宅,50,0,4,5,9,0,0,0,0,0,0,0,120.1986166,22.9802712
2019/11/7,臺南市,南　區,大忠里,住宅,50,0,7,5,12,0,0,0,0,0,0,0,120.2101595,22.9698014
2019/11/4,臺南市,南　區,大林里,住宅,50,0,4,4,8,0,0,0,0,0,0,0,120.2058311,22.9733919
2019/11/4,臺南市,南　區,大恩里,住宅,50,0,1,17,18,0,0,0,0,0,0,0,120.2079953,22.9548154
2019/11/8,臺南市,南　區,文南里,住宅,50,0,3,4,7,0,0,0,0,0,0,0,120.1870727,22.9840282
2019/11/5,臺南市,南　區,文華里,住宅,50,0,1,4,5,0,0,0,0,0,0,0,120.1899588,22.98611
2019/11/7,臺南市,南　區,永寧里,住宅,50,1,4,6,10,0,2,2,4,1,20,5,120.1798573,22.9291405
2019/11/4,臺南市,南　區,同安里,住宅,50,0,0,12,12,0,0,0,0,0,0,0,120.1892373,22.9224836
2019/11/7,臺南市,南　區,明亮里,住宅,50,1,5,6,11,0,1,1,2,1,9,3,120.1928448,22.9693947
