日期,臺南市,區別,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,經度,緯度
2020/8/5,臺南市,東　區,大同里,住宅,51,0,14,14,28,0,0,0,0,0,0,0,120.2130451,22.9839645
2020/8/3,臺南市,東　區,大智里,住宅,50,1,1,9,10,0,1,1,2,1,10,4,120.2332423,22.962286
2020/8/6,臺南市,東　區,大學里,住宅,75,1,4,8,12,0,1,1,1,1,8,3,120.2209801,22.9963981
2020/8/3,臺南市,東　區,小東里,住宅,59,0,2,28,30,0,0,0,0,0,0,0,120.227472,22.9970514
2020/8/7,臺南市,東　區,自強里,住宅,50,1,5,7,12,0,1,1,2,1,8,3,120.2332423,22.9824198
2020/8/4,臺南市,東　區,和平里,住宅,50,1,3,31,34,0,1,1,2,1,3,2,120.2354061,22.9745842
2020/8/5,臺南市,東　區,東光里,住宅,50,2,10,39,49,0,2,2,4,1,4,2,120.2303571,22.99242
2020/8/4,臺南市,東　區,東明里,住宅,50,2,8,29,37,0,2,2,4,1,5,2,120.227472,22.9916823
2020/8/6,臺南市,東　區,東門里,住宅,52,2,7,19,26,0,2,2,4,1,8,3,120.2144878,22.9890322
2020/8/6,臺南市,東　區,東聖里,住宅,50,0,4,3,7,0,0,0,0,0,0,0,120.2346848,22.9861443
2020/8/7,臺南市,東　區,虎尾里,住宅,51,0,5,9,14,0,0,0,0,0,0,0,120.2361273,22.9791309
2020/8/7,臺南市,東　區,虎尾里,住宅,50,0,0,6,6,0,0,0,0,0,0,0,120.2361273,22.9791309
2020/8/3,臺南市,東　區,南聖里,住宅,50,0,2,15,17,0,0,0,0,0,0,0,120.2462245,22.9890944
2020/8/6,臺南市,東　區,後甲里,住宅,50,0,8,5,13,0,0,0,0,0,0,0,120.2382911,22.9927707
2020/8/3,臺南市,東　區,崇善里,住宅,50,0,3,17,20,0,0,0,0,0,0,0,120.2303571,22.9736282
2020/8/6,臺南市,東　區,崇誨里,住宅,53,1,4,22,26,0,1,1,2,1,4,2,120.2256687,22.989711
2020/8/7,臺南市,東　區,崇德里,住宅,50,2,4,4,8,1,1,2,4,1,25,6,120.2260293,22.9745344
2020/8/3,臺南市,東　區,莊敬里,住宅,50,1,3,13,16,0,1,1,2,1,6,3,120.232521,22.9966645
2020/8/7,臺南市,東　區,圍下里,住宅,50,0,0,7,7,0,0,0,0,0,0,0,120.2148485,22.9919771
2020/8/7,臺南市,東　區,富強里,住宅,50,0,2,4,6,0,0,0,0,0,0,0,120.2317997,22.9867487
2020/8/7,臺南市,東　區,富裕里,住宅,50,0,0,4,4,0,0,0,0,0,0,0,120.227472,22.9849708
2020/8/3,臺南市,東　區,復興里,住宅,50,1,5,23,28,0,1,1,2,1,4,2,120.2375698,22.9815131
2020/8/2,臺南市,東　區,新東里,住宅,52,0,3,5,8,0,0,0,0,0,0,0,120.2249474,22.9865063
2020/8/3,臺南市,東　區,裕聖里,住宅,55,0,2,17,19,0,0,0,0,0,0,0,120.2469457,22.9802195
2020/8/3,臺南市,東　區,德高里,住宅,50,2,4,27,31,0,4,4,8,2,13,4,120.2354061,22.9665308
2020/8/6,臺南市,東　區,龍山里,住宅,80,1,7,9,16,0,1,1,1,1,6,3,120.2217014,22.9834946
2020/8/3,臺南市,南　區,大成里,住宅,50,0,4,16,20,0,0,0,0,0,0,0,120.1986166,22.9802712
2020/8/4,臺南市,南　區,大忠里,住宅,50,2,0,21,21,0,2,2,4,1,10,4,120.2101595,22.9698014
2020/8/3,臺南市,南　區,文南里,住宅,50,2,0,10,10,0,2,2,4,1,20,5,120.1870727,22.9840282
2020/8/5,臺南市,南　區,文華里,住宅,50,0,5,9,14,0,0,0,0,0,0,0,120.1899588,22.98611
2020/8/6,臺南市,南　區,永寧里,住宅,50,4,1,15,16,0,4,4,8,2,25,6,120.1798573,22.9291405
2020/8/7,臺南市,南　區,同安里,住宅,50,1,6,16,22,0,2,2,4,1,9,3,120.1892373,22.9224836
2020/8/7,臺南市,南　區,竹溪里,住宅,50,2,8,28,36,0,2,2,4,1,6,3,120.2065525,22.9779397
2020/8/5,臺南市,南　區,佛壇里,住宅,50,1,6,20,26,0,1,1,2,1,4,2,120.1776926,22.9195212
2020/8/6,臺南市,南　區,明興里,住宅,50,0,6,3,9,0,0,0,0,0,0,0,120.1914018,22.9629831
2020/8/6,臺南市,南　區,松安里,住宅,50,1,3,21,24,1,0,1,2,1,4,2,120.1776926,22.9248924
2020/8/3,臺南市,南　區,金華里,住宅,50,1,3,20,23,0,1,1,2,1,4,2,120.1885158,22.9796984
2020/8/3,臺南市,南　區,南華里,住宅,50,1,0,22,22,0,1,1,2,1,5,2,120.1885158,22.9622436
2020/8/6,臺南市,南　區,建南里,住宅,50,1,1,8,9,0,1,1,2,1,11,4,120.1964522,22.9572284
2020/8/5,臺南市,南　區,省躬里,住宅,50,2,0,20,20,0,2,2,4,1,10,4,120.1863512,22.9338276
2020/8/7,臺南市,南　區,省躬里,住宅,50,0,0,13,13,0,0,0,0,0,0,0,120.1863512,22.9338276
2020/8/4,臺南市,南　區,郡南里,住宅,50,1,2,12,14,0,1,1,2,1,7,3,120.1950093,22.964243
2020/8/7,臺南市,南　區,喜北里,住宅,50,1,2,10,12,0,1,1,2,1,8,3,120.1776926,22.9490628
2020/8/3,臺南市,南　區,開南里,住宅,50,1,1,11,12,1,0,1,2,1,8,3,120.1856297,22.9668748
2020/8/6,臺南市,南　區,新昌里,住宅,50,3,0,11,11,0,3,3,6,2,27,6,120.1957308,22.9835601
2020/8/6,臺南市,南　區,興農里,住宅,50,2,4,26,30,0,3,3,6,2,10,4,120.1921233,22.9299372
2020/8/7,臺南市,南　區,鯤鯓里,住宅,50,2,4,20,24,0,2,2,4,1,8,3,120.1733631,22.9566809
2020/8/3,臺南市,南　區,鹽埕里,住宅,50,1,1,12,13,0,1,1,2,1,8,3,120.1870727,22.971944
2020/8/5,臺南市,北　區,力行里,住宅,50,0,3,2,5,0,0,0,0,0,0,0,120.2292752,23.0084185
2020/8/6,臺南市,北　區,大興里,住宅,50,2,4,8,12,0,2,2,4,1,17,5,120.1827435,23.0104452
2020/8/7,臺南市,北　區,大豐里,住宅,75,1,13,5,18,0,1,1,1,1,6,3,120.1921233,23.0078107
2020/8/6,臺南市,北　區,小北里,住宅,50,2,9,5,14,0,2,2,4,1,14,4,120.2124298,23.0079508
2020/8/3,臺南市,北　區,中樓里,住宅,50,0,5,12,17,0,0,0,0,0,0,0,120.2159306,23.0034966
2020/8/3,臺南市,北　區,仁愛里,住宅,50,1,3,10,13,0,1,1,2,1,8,3,120.2202587,23.0025898
2020/8/6,臺南市,北　區,公園里,住宅,50,2,7,13,20,0,2,2,4,1,10,4,120.2101595,23.0006781
2020/8/6,臺南市,北　區,公園里,住宅,50,2,17,10,27,0,2,2,4,1,7,3,120.2101595,23.0006781
2020/8/8,臺南市,北　區,文元里,住宅,50,0,0,13,13,0,0,0,0,0,0,0,120.1978952,23.0146579
2020/8/8,臺南市,北　區,文元里,住宅,50,0,0,2,2,0,0,0,0,0,0,0,120.1978952,23.0146579
2020/8/6,臺南市,北　區,北華里,住宅,50,0,5,4,9,0,0,0,0,0,0,0,120.2040991,23.0008064
2020/8/6,臺南市,北　區,北華里,住宅,50,0,4,3,7,0,0,0,0,0,0,0,120.2040991,23.0008064
2020/8/3,臺南市,北　區,永祥里,住宅,50,1,6,9,15,0,1,1,2,1,7,3,120.2202587,23.0160134
2020/8/8,臺南市,北　區,永祥里,住宅,50,3,4,3,7,1,2,3,6,2,43,9,120.2202587,23.0160134
2020/8/4,臺南市,北　區,立人里,住宅,50,0,2,9,11,0,0,0,0,0,0,0,120.20171,23.00053
2020/8/7,臺南市,北　區,合興里,住宅,50,0,10,4,14,0,0,0,0,0,0,0,120.2260293,23.0040653
2020/8/7,臺南市,北　區,和順里,住宅,50,2,9,5,14,1,1,2,4,1,14,4,120.2015025,23.0051759
2020/8/3,臺南市,北　區,東興里,住宅,50,3,7,60,67,0,9,9,18,3,13,4,120.2260293,23.0013807
2020/8/3,臺南市,北　區,長勝里,住宅,50,1,0,7,7,0,1,1,2,1,14,4,120.2235605,23.0103628
