日期,台南市,區別,里別,"調查種類","調查戶數","陽性戶數",調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,緯度,經度
2017/11/20,臺南市,東　區,大智里,住宅,50,0,5,3,8,0,0,0,0,0,0,0,22.962286,120.2332423
2017/11/20,臺南市,東　區,裕聖里,住宅,50,0,2,3,5,0,0,0,0,0,0,0,22.9802195,120.2469457
2017/11/20,臺南市,東　區,東安里,住宅,75,1,11,14,25,0,1,1,1,1,4,2,22.9872616,120.2213407
2017/11/21,臺南市,東　區,富裕里,住宅,50,1,12,11,23,0,1,1,2,1,4,2,22.9849708,120.227472
2017/11/21,臺南市,東　區,小東里,住宅,50,0,4,3,7,0,0,0,0,0,0,0,22.9970514,120.227472
2017/11/21,臺南市,東　區,後甲里,住宅,50,0,3,5,8,0,0,0,0,0,0,0,22.9927707,120.2382911
2017/11/21,臺南市,東　區,德高里,住宅,50,1,4,6,10,0,1,1,2,1,10,4,22.965884,120.235589
2017/11/22,臺南市,東　區,裕農里,住宅,50,0,3,2,5,0,0,0,0,0,0,0,22.9886954,120.2289146
2017/11/22,臺南市,東　區,崇善里,住宅,52,0,5,8,13,0,0,0,0,0,0,0,22.9736282,120.2303571
2017/11/22,臺南市,東　區,大學里,住宅,50,2,3,14,17,0,2,2,4,1,12,4,22.9963981,120.2209801
2017/11/22,臺南市,東　區,東明里,住宅,50,0,6,3,9,0,0,0,0,0,0,0,22.9916823,120.227472
2017/11/23,臺南市,東　區,仁和里,住宅,50,4,1,25,26,0,4,4,8,2,15,5,22.970364,120.235827
2017/11/23,臺南市,東　區,大同里,住宅,50,1,3,8,11,0,1,1,2,1,9,3,22.9839645,120.2130451
2017/11/23,臺南市,東　區,文聖里,住宅,50,1,7,5,12,0,1,1,2,1,8,3,22.9840282,120.2447821
2017/11/23,臺南市,東　區,富強里,住宅,50,1,15,4,19,2,0,2,4,1,11,4,22.9867487,120.2317997
2017/11/24,臺南市,東　區,崇信里,住宅,50,0,2,23,25,0,0,0,0,0,0,0,22.9809439,120.227472
